city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Kathu,7.9178,98.3332,89.6,62,40,5.75,TH,1614940322
Russkiy,43.0147,131.8642,24.8,58,100,20.13,RU,1614940610
Empangeni,-28.762,31.8933,77.7,76,46,9.73,ZA,1614940610
Pangnirtung,66.1451,-65.7125,12.16,63,97,5.17,CA,1614940610
Port-Gentil,-0.7193,8.7815,82.4,78,75,8.05,GA,1614940611
Lypova Dolyna,50.5643,33.7979,32.34,95,100,4.23,UA,1614940611
Sisimiut,66.9395,-53.6735,20.95,76,50,11.23,GL,1614940611
Evensk,61.95,159.2333,-19.75,69,100,4.74,RU,1614940611
Kisiwani,-4.1333,37.95,90.75,40,75,9.66,TZ,1614940611
Lüderitz,-26.6481,15.1594,78.08,48,0,15.35,NA,1614940611
Bambous Virieux,-20.3428,57.7575,82.4,74,75,11.5,MU,1614940612
Kumul,42.8,93.45,49.71,24,0,3.42,CN,1614940612
Porto-Novo,6.4965,2.6036,89.6,74,40,14.97,BJ,1614940612
Nanortalik,60.1432,-45.2371,29.84,86,80,4.59,GL,1614940612
Saint George,37.1041,-113.5841,44.01,52,1,3.44,US,1614940486
Alofi,-19.0595,-169.9187,75.2,94,97,1.14,NU,1614940612
Bluff,-46.6,168.3333,50.0,81,79,1.01,NZ,1614940612
Coahuayana Viejo,18.7333,-103.6833,66.42,55,0,2.82,MX,1614940613
Moussoro,13.6408,16.4901,94.89,8,0,14.18,TD,1614940613
Bilibino,68.0546,166.4372,-23.31,98,100,1.43,RU,1614940335
Tiznit Province,29.5833,-9.5,59.13,61,55,7.45,MA,1614940613
Ko Samui,9.5357,99.9357,86.0,66,20,5.75,TH,1614940554
Kysyl-Syr,63.8986,122.7617,-26.34,96,49,3.31,RU,1614940613
Manokwari,-0.8667,134.0833,79.45,82,98,10.89,ID,1614940613
Tautira,-17.7333,-149.15,80.6,78,75,4.61,PF,1614940613
Upernavik,72.7868,-56.1549,-15.29,84,72,16.69,GL,1614940613
Khasan,42.4308,130.6434,24.04,54,98,24.32,RU,1614940614
Taoudenni,22.6783,-3.9836,82.63,12,0,12.64,ML,1614940614
Cleethorpes,53.5605,-0.0323,42.01,81,75,13.8,GB,1614940614
Los Llanos de Aridane,28.6585,-17.9182,68.0,73,40,3.44,ES,1614940614
Kutum,14.2,24.6667,83.28,10,0,10.78,SD,1614940614
Mago,53.2514,140.1822,-19.3,85,33,6.11,RU,1614940615
Mossamedes,-15.1961,12.1522,84.2,61,0,11.5,AO,1614940583
Bansang,13.4333,-14.65,82.4,51,0,4.61,GM,1614940615
Jiutai,44.1525,125.8328,8.6,52,0,2.24,CN,1614940615
Karratha,-20.7377,116.8463,83.62,59,0,12.48,AU,1614940615
Abu Dhabi,24.4667,54.3667,102.2,11,0,5.75,AE,1614940547
Petauke,-14.2426,31.3253,78.21,85,33,1.52,ZM,1614940615
Taywarah,33.35,64.4167,46.65,42,99,8.81,AF,1614940615
Twentynine Palms,34.1356,-116.0542,50.0,36,1,9.22,US,1614940616
Kozhevnikovo,56.2589,83.9714,28.0,85,100,13.0,RU,1614940616
Knysna,-34.0363,23.0471,73.4,60,20,11.5,ZA,1614940616
Beni,0.5,29.4667,91.99,27,72,4.0,CD,1614940617
Cabo San Lucas,22.8909,-109.9124,64.0,58,53,3.0,MX,1614940585
Kīhei,20.785,-156.4656,69.8,68,90,6.91,US,1614940617
Lere,10.387,8.5726,95.59,9,64,10.11,NG,1614940617
Goth Radhan,27.1833,67.95,99.48,7,0,3.2,PK,1614940617
Kamaishi,39.2667,141.8833,48.2,76,75,3.44,JP,1614940618
Vitré,48.1178,-1.2058,44.6,57,75,13.8,FR,1614940618
Grand Gaube,-20.0064,57.6608,82.4,74,75,11.5,MU,1614940618
Sangar,63.9242,127.4739,-32.73,96,72,5.03,RU,1614940618
Castro,-24.7911,-50.0119,66.07,94,100,9.28,BR,1614940618
Callaway,30.153,-85.5699,51.8,76,1,5.75,US,1614940618
Inhambane,-23.865,35.3833,84.2,61,75,4.61,MZ,1614940618
Tabou,4.423,-7.3528,83.95,74,58,10.16,CI,1614940619
Kahului,20.8947,-156.47,69.8,68,90,6.91,US,1614940619
Wanaka,-44.7,169.15,43.48,94,87,3.94,NZ,1614940619
Golakganj,26.1,89.8333,89.65,14,0,12.35,IN,1614940619
Necochea,-38.5473,-58.7368,61.0,74,99,1.99,AR,1614940619
Sorong,-0.8833,131.25,80.69,80,100,11.12,ID,1614940620
Sydney,-33.8679,151.2073,69.8,64,75,18.41,AU,1614940400
Avarua,-21.2078,-159.775,77.0,94,40,2.3,CK,1614940620
Port Elizabeth,-33.918,25.5701,75.2,57,0,11.5,ZA,1614940620
George Town,5.4112,100.3354,89.01,70,20,5.75,MY,1614940509
Seoul,37.5683,126.9778,53.6,71,0,6.91,KR,1614940621
Port Hardy,50.6996,-127.4199,44.6,93,75,10.36,CA,1614940621
Northam,51.0333,-4.2167,42.01,67,16,7.0,GB,1614940621
Cayenne,4.9333,-52.3333,80.01,94,20,11.97,GF,1614940610
Baruun-Urt,46.6806,113.2792,-3.26,86,0,4.0,MN,1614940621
Panalingaan,8.7842,117.4231,80.42,82,6,4.92,PH,1614940621
